year,topic,counts
1924,1,2
1924,3,5
1924,4,6
1924,5,3
1924,6,14
1924,7,4
1924,8,5
1925,1,30
1925,2,1
1925,3,14
1925,4,77
1925,5,53
1925,6,72
1925,7,46
1925,8,28
1925,9,6
1926,1,20
1926,2,1
1926,3,7
1926,4,35
1926,5,48
1926,6,17
1926,7,37
1926,8,16
1926,9,11
1927,1,22
1927,2,2
1927,3,11
1927,4,30
1927,5,47
1927,6,22
1927,7,48
1927,8,17
1927,9,2
1928,1,28
1928,2,2
1928,3,12
1928,4,25
1928,5,50
1928,6,13
1928,7,32
1928,8,17
1928,9,1
1929,1,19
1929,2,5
1929,3,14
1929,4,33
1929,5,54
1929,6,11
1929,7,36
1929,8,24
1929,9,12
1930,0,1
1930,1,42
1930,3,9
1930,4,34
1930,5,50
1930,6,29
1930,7,48
1930,8,23
1930,9,1
1931,0,1
1931,1,28
1931,2,1
1931,3,11
1931,4,46
1931,5,56
1931,6,25
1931,7,39
1931,8,25
1931,9,38
1932,0,1
1932,1,39
1932,2,3
1932,3,15
1932,4,34
1932,5,52
1932,6,36
1932,7,44
1932,8,24
1932,9,5
1933,0,4
1933,1,13
1933,2,1
1933,3,20
1933,4,43
1933,5,55
1933,6,15
1933,7,38
1933,8,19
1933,9,5
1934,1,21
1934,2,9
1934,3,4
1934,4,31
1934,5,58
1934,6,16
1934,7,31
1934,8,33
1934,9,8
1935,1,31
1935,2,2
1935,3,8
1935,4,22
1935,5,57
1935,6,27
1935,7,48
1935,8,26
1935,9,7
1936,1,33
1936,2,4
1936,3,16
1936,4,32
1936,5,76
1936,6,24
1936,7,58
1936,8,47
1936,9,4
1937,1,35
1937,2,19
1937,3,16
1937,4,35
1937,5,46
1937,6,13
1937,7,38
1937,8,14
1937,9,7
1938,1,35
1938,2,24
1938,3,14
1938,4,42
1938,5,51
1938,6,22
1938,7,30
1938,8,22
1938,9,2
1939,1,33
1939,2,17
1939,3,12
1939,4,30
1939,5,39
1939,6,26
1939,7,46
1939,8,22
1939,9,17
1940,1,38
1940,2,14
1940,3,21
1940,4,14
1940,5,31
1940,6,12
1940,7,32
1940,8,11
1940,9,4
1941,1,17
1941,2,6
1941,3,6
1941,4,15
1941,5,27
1941,6,10
1941,7,17
1941,8,10
1941,9,10
1942,0,8
1942,1,9
1942,2,4
1942,3,20
1942,4,4
1942,5,6
1942,6,4
1942,7,17
1942,8,12
1942,9,7
1943,1,17
1943,2,1
1943,3,25
1943,5,4
1943,6,1
1943,7,18
1943,8,8
1943,9,3
1944,1,16
1944,2,3
1944,3,19
1944,4,2
1944,5,2
1944,6,2
1944,7,31
1944,8,6
1944,9,2
1945,1,12
1945,2,3
1945,3,15
1945,4,7
1945,5,8
1945,6,4
1945,7,26
1945,8,5
1945,9,2
1946,1,20
1946,2,5
1946,3,24
1946,4,23
1946,5,13
1946,6,9
1946,7,36
1946,8,12
1946,9,5
1947,1,19
1947,2,17
1947,3,14
1947,4,33
1947,5,10
1947,6,23
1947,7,33
1947,8,16
1947,9,1
1948,1,9
1948,2,7
1948,3,14
1948,4,17
1948,6,28
1948,7,31
1948,8,10
1948,9,7
1949,1,12
1949,2,14
1949,3,21
1949,4,34
1949,5,9
1949,6,18
1949,7,38
1949,8,16
1949,9,4
1950,1,21
1950,2,4
1950,3,24
1950,4,28
1950,5,12
1950,6,21
1950,7,45
1950,8,16
1950,9,1
1951,1,20
1951,2,3
1951,3,22
1951,4,16
1951,5,4
1951,6,5
1951,7,25
1951,8,10
1951,9,2
1952,1,27
1952,2,15
1952,3,44
1952,4,31
1952,5,5
1952,6,13
1952,7,19
1952,8,9
1952,9,1
1953,1,20
1953,2,15
1953,3,38
1953,4,30
1953,5,4
1953,6,6
1953,7,15
1953,8,8
1954,0,1
1954,1,19
1954,2,12
1954,3,57
1954,4,33
1954,5,4
1954,6,6
1954,7,9
1954,8,12
